state_code,county_code,total_applications,advantaged_n,disadvantaged_n,advantaged_approval_rate,disadvantaged_approval_rate,approval_disparity_gap
TX,48145.0,4,3,1,0.6666666666666666,1.0,-0.33333333333333337
TX,48325.0,63,57,6,0.6491228070175439,1.0,-0.3508771929824561
TX,48361.0,53,49,4,0.6326530612244898,1.0,-0.36734693877551017
TX,48487.0,10,8,2,0.625,1.0,-0.375
TX,48467.0,62,60,2,0.6166666666666667,1.0,-0.3833333333333333
CA,6043.0,11,10,1,0.6,1.0,-0.4
TX,48013.0,42,41,1,0.5853658536585366,1.0,-0.41463414634146345
TX,48371.0,13,12,1,0.5833333333333334,1.0,-0.41666666666666663
TX,48133.0,15,14,1,0.5714285714285714,1.0,-0.4285714285714286
CA,6015.0,19,18,1,0.5555555555555556,1.0,-0.4444444444444444
TX,48163.0,12,11,1,0.5454545454545454,1.0,-0.4545454545454546
TX,48225.0,9,8,1,0.5,1.0,-0.5
TX,48307.0,3,2,1,0.5,1.0,-0.5
TX,48123.0,9,9,0,0.6666666666666666,,
TX,48159.0,13,13,0,0.7692307692307693,,
TX,48341.0,12,12,0,0.8333333333333334,,
CA,6027.0,11,11,0,0.8181818181818182,,
TX,48265.0,44,44,0,0.6590909090909091,,
TX,48235.0,3,3,0,0.6666666666666666,,
TX,48109.0,3,3,0,0.6666666666666666,,
TX,48343.0,11,11,0,0.7272727272727273,,
TX,48313.0,8,8,0,0.625,,
TX,48297.0,11,11,0,0.9090909090909091,,
TX,48415.0,12,12,0,0.9166666666666666,,
TX,48489.0,3,3,0,0.6666666666666666,,
TX,48075.0,1,1,0,0.0,,
TX,48463.0,6,6,0,0.5,,
TX,48379.0,14,14,0,0.7142857142857143,,
TX,48505.0,7,7,0,0.14285714285714285,,
TX,48097.0,27,27,0,0.8518518518518519,,
TX,48255.0,4,4,0,0.25,,
TX,48197.0,3,3,0,1.0,,
CA,6045.0,31,31,0,0.8064516129032258,,
CA,6063.0,22,22,0,0.6818181818181818,,
TX,48421.0,3,3,0,1.0,,
TX,48115.0,7,7,0,0.8571428571428571,,
TX,48189.0,9,9,0,0.6666666666666666,,
TX,48427.0,15,15,0,0.4666666666666667,,
TX,48267.0,2,2,0,1.0,,
TX,48483.0,4,4,0,0.75,,
TX,48449.0,16,16,0,0.8125,,
TX,48461.0,2,2,0,1.0,,
TX,48475.0,5,5,0,0.8,,
TX,48457.0,20,20,0,0.5,,
TX,48011.0,2,2,0,1.0,,
CA,6051.0,16,16,0,0.875,,
TX,48193.0,6,6,0,0.5,,
TX,48425.0,11,11,0,0.7272727272727273,,
TX,48409.0,47,47,0,0.8085106382978723,,
TX,48219.0,17,17,0,0.5882352941176471,,
TX,48455.0,6,6,0,1.0,,
TX,48323.0,23,23,0,0.6956521739130435,,
TX,48335.0,4,4,0,0.5,,
TX,48171.0,21,21,0,0.8095238095238095,,
TX,48175.0,4,4,0,0.75,,
TX,48359.0,1,1,0,1.0,,
TX,48009.0,10,10,0,0.6,,
TX,48375.0,63,63,0,0.7619047619047619,,
CA,6105.0,11,11,0,0.8181818181818182,,
TX,48273.0,19,19,0,0.8421052631578947,,
TX,48479.0,100,100,0,0.73,,
TX,48143.0,22,22,0,0.7272727272727273,,
TX,48285.0,7,7,0,0.7142857142857143,,
TX,48363.0,28,28,0,0.7142857142857143,,
TX,48067.0,18,18,0,0.7777777777777778,,
TX,48237.0,4,4,0,0.75,,
TX,48127.0,5,5,0,0.4,,
CA,6021.0,21,21,0,0.7619047619047619,,
TX,48437.0,4,4,0,0.75,,
TX,48429.0,8,8,0,0.75,,
TX,48417.0,3,3,0,0.6666666666666666,,
TX,48205.0,3,3,0,0.6666666666666666,,
TX,48043.0,4,4,0,1.0,,
TX,48165.0,20,20,0,0.65,,
TX,48503.0,9,9,0,0.4444444444444444,,
TX,48369.0,3,3,0,0.6666666666666666,,
TX,48107.0,5,5,0,1.0,,
TX,48495.0,10,10,0,0.6,,
TX,48253.0,7,7,0,0.42857142857142855,,
TX,48393.0,1,1,0,1.0,,
TX,48117.0,10,10,0,0.7,,
TX,48389.0,6,6,0,0.6666666666666666,,
TX,48179.0,9,9,0,0.7777777777777778,,
TX,48081.0,2,2,0,0.0,,
TX,48137.0,1,1,0,1.0,,
TX,48129.0,1,1,0,1.0,,
TX,48169.0,2,2,0,0.0,,
TX,48083.0,5,5,0,0.2,,
TX,48025.0,8,8,0,0.625,,
CA,6003.0,2,2,0,1.0,,
TX,48093.0,12,12,0,0.5833333333333334,,
TX,48383.0,2,2,0,0.5,,
TX,48077.0,9,9,0,0.7777777777777778,,
TX,48353.0,4,4,0,0.5,,
TX,48103.0,2,2,0,0.5,,
TX,48431.0,2,2,0,0.5,,
TX,48385.0,2,2,0,0.0,,
TX,48317.0,5,5,0,0.6,,
TX,48195.0,1,1,0,1.0,,
TX,48229.0,1,1,0,0.0,,
TX,48033.0,1,1,0,1.0,,
TX,48399.0,6,6,0,0.6666666666666666,,
CA,6049.0,5,5,0,0.6,,
TX,48435.0,3,3,0,1.0,,
TX,48501.0,5,5,0,0.8,,
TX,48155.0,1,1,0,0.0,,
TX,48191.0,1,1,0,0.0,,
TX,48333.0,2,2,0,0.5,,
TX,48119.0,5,5,0,0.6,,
TX,48391.0,4,4,0,0.5,,
TX,48125.0,1,1,0,0.0,,
TX,48017.0,1,1,0,0.0,,
TX,48065.0,2,2,0,1.0,,
TX,48087.0,1,1,0,0.0,,
TX,48305.0,1,1,0,1.0,,
TX,48151.0,2,2,0,0.5,,
TX,48247.0,2,2,0,0.5,,
TX,48283.0,2,2,0,0.5,,
TX,48243.0,1,1,0,1.0,,
TX,48445.0,3,3,0,0.3333333333333333,,
TX,48275.0,1,1,0,0.0,,
TX,48319.0,1,1,0,1.0,,
TX,48111.0,1,1,0,1.0,,
TX,48447.0,1,1,0,1.0,,
CA,6091.0,1,1,0,1.0,,
TX,48507.0,1,1,0,0.0,,
TX,48271.0,1,1,0,0.0,,
TX,48131.0,1,1,0,1.0,,
